ИНН,Выручка2023,Выручка2022,Себестоимость продаж2023,Себестоимость продаж2022,Валовая прибыль (убыток)2023,Валовая прибыль (убыток)2022,Коммерческие расходы2023,Коммерческие расходы2022,Управленческие расходы2023,Управленческие расходы2022,Прибыль (убыток) от продаж2023,Прибыль (убыток) от продаж2022,Доходы от участия в других организациях2023,Доходы от участия в других организациях2022,Проценты к получению2023,Проценты к получению2022,Проценты к уплате2023,Проценты к уплате2022,Прочие доходы2023,Прочие доходы2022,Прочие расходы2023,Прочие расходы2022,Прибыль (убыток) до налогообложения2023,Прибыль (убыток) до налогообложения2022,Налог на прибыль2023,Налог на прибыль2022,в т.ч. текущий налог на прибыль2023,в т.ч. текущий налог на прибыль2022,Отложенный налог на прибыль2023,Отложенный налог на прибыль2022,в т.ч. постоянные налоговые обязательства2023,в т.ч. постоянные налоговые обязательства2022,Изменение отложенных налоговых обязательств2023,Изменение отложенных налоговых обязательств2022,Изменение отложенных налоговых активов2023,Изменение отложенных налоговых активов2022,Прочее2023,Прочее2022,Чистая прибыль (убыток)2023,Чистая прибыль (убыток)2022,"Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода2023","Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода2022","Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода2023","Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода2022","Налог на прибыль от операций, результат которых не включается в чистую прибыль (убыток) периода2023","Налог на прибыль от операций, результат которых не включается в чистую прибыль (убыток) периода2022",Совокупный финансовый результат периода2023,Совокупный финансовый результат периода2022,Справочно Базовая прибыль (убыток) на акцию2023,Справочно Базовая прибыль (убыток) на акцию2022,Разводненная прибыль (убыток) на акцию2023,Разводненная прибыль (убыток) на акцию2022,Баланс2023,Баланс2022,Расходы по обычной деятельности2023,Расходы по обычной деятельности2022,Налоги на прибыль (доходы)2023,Налоги на прибыль (доходы)2022,Balance_test,FinRes_test,Revenue_test,судебные дела,в качестве истца,в качестве ответчика,текущие производства,завершенные производства,совладельцы,число тендеров
1402047184,1455913,869308,-1386584,-827912,69329,41396,,,-334385,-817184,-265056,-775788,2658885,4958419,1664683,987638,-2385241,-2230410,39466193,30596140,-25499314,-31735612,15640150,1800387,-1233150,486669,,,-1233150,486669,,,,,,,,,14407000,2287056,,,,,,,14407000,2287056,,,,,84996490,64599845,,,,,1.0,1.0,1.0,37.0,8.0,26.0,0.0,59.0,1.0,0.0
3525023780,1455913,869308,-1386584,-827912,69329,41396,,,-334385,-817184,-265056,-775788,2658885,4958419,1664683,987638,-2385241,-2230410,39466193,30596140,-25499314,-31735612,15640150,1800387,-1233150,486669,,,-1233150,486669,,,,,,,,,14407000,2287056,,,,,,,14407000,2287056,,,,,84996490,64599845,,,,,1.0,1.0,1.0,1477.0,410.0,183.0,1.0,86.0,1.0,65.0
7715159793,1455913,869308,-1386584,-827912,69329,41396,,,-334385,-817184,-265056,-775788,2658885,4958419,1664683,987638,-2385241,-2230410,39466193,30596140,-25499314,-31735612,15640150,1800387,-1233150,486669,,,-1233150,486669,,,,,,,,,14407000,2287056,,,,,,,14407000,2287056,,,,,84996490,64599845,,,,,1.0,1.0,1.0,12.0,0.0,0.0,0.0,9.0,1.0,0.0
5011039432,0,53,0,-49,0,4,,,-589,-47939,-589,-47935,,,9193,734,,,530865,499030,-900869,-637828,-361400,-185999,71976,34532,,,71976,34532,,,,,,,,,-289424,-151467,,,,,,,-289424,-151467,,,,,12542179,7616253,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
7709853192,0,53,0,-49,0,4,,,-589,-47939,-589,-47935,,,9193,734,,,530865,499030,-900869,-637828,-361400,-185999,71976,34532,,,71976,34532,,,,,,,,,-289424,-151467,,,,,,,-289424,-151467,,,,,12542179,7616253,,,,,1.0,0.0,0.0,58.0,27.0,12.0,1.0,4.0,5.0,0.0
5008009854,0,53,0,-49,0,4,,,-589,-47939,-589,-47935,,,9193,734,,,530865,499030,-900869,-637828,-361400,-185999,71976,34532,,,71976,34532,,,,,,,,,-289424,-151467,,,,,,,-289424,-151467,,,,,12542179,7616253,,,,,1.0,0.0,0.0,41.0,14.0,13.0,1.0,9.0,5.0,6.0
7706111837,0,53,0,-49,0,4,,,-589,-47939,-589,-47935,,,9193,734,,,530865,499030,-900869,-637828,-361400,-185999,71976,34532,,,71976,34532,,,,,,,,,-289424,-151467,,,,,,,-289424,-151467,,,,,12542179,7616253,,,,,1.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,3.0,2.0
7720779760,5708461,3272629,-4918708,-2926950,789753,345679,-576347,-214639,-82004,-70609,131402,60431,,,7319,2809,-18577,-595,33895,37481,-67910,-22486,86129,77640,-17331,-13352,-17945,-14586,614,1234,,,,,,,,,68798,64288,,,,,,,68798,64288,,,,,1485445,804790,,,,,1.0,1.0,1.0,17.0,11.0,2.0,0.0,1.0,0.0,0.0
7701155020,5708461,3272629,-4918708,-2926950,789753,345679,-576347,-214639,-82004,-70609,131402,60431,,,7319,2809,-18577,-595,33895,37481,-67910,-22486,86129,77640,-17331,-13352,-17945,-14586,614,1234,,,,,,,,,68798,64288,,,,,,,68798,64288,,,,,1485445,804790,,,,,1.0,1.0,1.0,28.0,9.0,11.0,0.0,4.0,0.0,0.0
7706196090,5708461,3272629,-4918708,-2926950,789753,345679,-576347,-214639,-82004,-70609,131402,60431,,,7319,2809,-18577,-595,33895,37481,-67910,-22486,86129,77640,-17331,-13352,-17945,-14586,614,1234,,,,,,,,,68798,64288,,,,,,,68798,64288,,,,,1485445,804790,,,,,1.0,1.0,1.0,101699.0,59240.0,39534.0,100.0,70176.0,3.0,488.0
